date,league,match,team,opponent,player,position,minutes,shots_total,shots_on_target,yellow_cards,red_cards,saves
2026-06-01,DEMO Serie A,Giornata 1,Milano FC,Avversario Demo,Marco Rossi,FW,77,4,2,0,0,0
2026-06-01,DEMO Serie A,Giornata 1,Torino Blu,Avversario Demo,Luca Bianchi,MF,66,3,2,1,0,0
2026-06-01,DEMO Serie A,Giornata 1,Roma City,Avversario Demo,Davide Verdi,FW,75,2,2,1,0,0
2026-06-01,DEMO Serie A,Giornata 1,Napoli Sud,Avversario Demo,Andrea Neri,GK,63,0,0,0,0,5
2026-06-01,DEMO Serie A,Giornata 1,Bologna Nord,Avversario Demo,Paolo Gallo,DF,70,0,0,1,0,0
2026-06-01,DEMO Serie A,Giornata 1,Genova FC,Avversario Demo,Simone Costa,GK,90,0,0,0,0,2
2026-06-08,DEMO Serie B,Giornata 2,Milano FC,Avversario Demo,Marco Rossi,FW,75,2,1,0,0,0
2026-06-08,DEMO Serie B,Giornata 2,Torino Blu,Avversario Demo,Luca Bianchi,MF,81,2,2,0,0,0
2026-06-08,DEMO Serie B,Giornata 2,Roma City,Avversario Demo,Davide Verdi,FW,90,3,1,0,0,0
2026-06-08,DEMO Serie B,Giornata 2,Napoli Sud,Avversario Demo,Andrea Neri,GK,64,0,0,0,0,6
2026-06-08,DEMO Serie B,Giornata 2,Bologna Nord,Avversario Demo,Paolo Gallo,DF,61,0,0,1,0,0
2026-06-08,DEMO Serie B,Giornata 2,Genova FC,Avversario Demo,Simone Costa,GK,75,0,0,0,0,1
2026-06-15,DEMO Serie A,Giornata 3,Milano FC,Avversario Demo,Marco Rossi,FW,73,4,3,0,0,0
2026-06-15,DEMO Serie A,Giornata 3,Torino Blu,Avversario Demo,Luca Bianchi,MF,75,2,0,1,0,0
2026-06-15,DEMO Serie A,Giornata 3,Roma City,Avversario Demo,Davide Verdi,FW,90,4,0,0,0,0
2026-06-15,DEMO Serie A,Giornata 3,Napoli Sud,Avversario Demo,Andrea Neri,GK,82,0,0,0,0,5
2026-06-15,DEMO Serie A,Giornata 3,Bologna Nord,Avversario Demo,Paolo Gallo,DF,79,0,0,1,0,0
2026-06-15,DEMO Serie A,Giornata 3,Genova FC,Avversario Demo,Simone Costa,GK,76,0,0,0,0,5
2026-06-22,DEMO Serie B,Giornata 4,Milano FC,Avversario Demo,Marco Rossi,FW,87,2,2,0,0,0
2026-06-22,DEMO Serie B,Giornata 4,Torino Blu,Avversario Demo,Luca Bianchi,MF,61,3,2,0,0,0
2026-06-22,DEMO Serie B,Giornata 4,Roma City,Avversario Demo,Davide Verdi,FW,62,3,1,0,0,0
2026-06-22,DEMO Serie B,Giornata 4,Napoli Sud,Avversario Demo,Andrea Neri,GK,75,0,0,0,0,5
2026-06-22,DEMO Serie B,Giornata 4,Bologna Nord,Avversario Demo,Paolo Gallo,DF,63,1,0,0,0,0
2026-06-22,DEMO Serie B,Giornata 4,Genova FC,Avversario Demo,Simone Costa,GK,78,0,0,0,0,1
2026-06-29,DEMO Serie A,Giornata 5,Milano FC,Avversario Demo,Marco Rossi,FW,64,2,0,0,0,0
2026-06-29,DEMO Serie A,Giornata 5,Torino Blu,Avversario Demo,Luca Bianchi,MF,72,1,0,0,0,0
2026-06-29,DEMO Serie A,Giornata 5,Roma City,Avversario Demo,Davide Verdi,FW,78,3,1,0,0,0
2026-06-29,DEMO Serie A,Giornata 5,Napoli Sud,Avversario Demo,Andrea Neri,GK,80,0,0,0,0,4
2026-06-29,DEMO Serie A,Giornata 5,Bologna Nord,Avversario Demo,Paolo Gallo,DF,61,1,0,1,0,0
2026-06-29,DEMO Serie A,Giornata 5,Genova FC,Avversario Demo,Simone Costa,GK,72,0,0,1,0,3
2026-07-06,DEMO Serie B,Giornata 6,Milano FC,Avversario Demo,Marco Rossi,FW,66,4,3,0,0,0
2026-07-06,DEMO Serie B,Giornata 6,Torino Blu,Avversario Demo,Luca Bianchi,MF,69,0,0,0,0,0
2026-07-06,DEMO Serie B,Giornata 6,Roma City,Avversario Demo,Davide Verdi,FW,86,1,1,1,0,0
2026-07-06,DEMO Serie B,Giornata 6,Napoli Sud,Avversario Demo,Andrea Neri,GK,78,0,0,0,0,6
2026-07-06,DEMO Serie B,Giornata 6,Bologna Nord,Avversario Demo,Paolo Gallo,DF,77,1,1,1,0,0
2026-07-06,DEMO Serie B,Giornata 6,Genova FC,Avversario Demo,Simone Costa,GK,65,0,0,0,0,4
2026-07-13,DEMO Serie A,Giornata 7,Milano FC,Avversario Demo,Marco Rossi,FW,71,1,1,0,0,0
2026-07-13,DEMO Serie A,Giornata 7,Torino Blu,Avversario Demo,Luca Bianchi,MF,79,3,2,0,0,0
2026-07-13,DEMO Serie A,Giornata 7,Roma City,Avversario Demo,Davide Verdi,FW,66,1,0,0,0,0
2026-07-13,DEMO Serie A,Giornata 7,Napoli Sud,Avversario Demo,Andrea Neri,GK,90,0,0,1,0,2
2026-07-13,DEMO Serie A,Giornata 7,Bologna Nord,Avversario Demo,Paolo Gallo,DF,74,1,1,0,0,0
2026-07-13,DEMO Serie A,Giornata 7,Genova FC,Avversario Demo,Simone Costa,GK,69,0,0,0,0,3
2026-07-20,DEMO Serie B,Giornata 8,Milano FC,Avversario Demo,Marco Rossi,FW,84,1,0,0,0,0
2026-07-20,DEMO Serie B,Giornata 8,Torino Blu,Avversario Demo,Luca Bianchi,MF,72,0,0,1,0,0
2026-07-20,DEMO Serie B,Giornata 8,Roma City,Avversario Demo,Davide Verdi,FW,80,4,0,0,0,0
2026-07-20,DEMO Serie B,Giornata 8,Napoli Sud,Avversario Demo,Andrea Neri,GK,76,0,0,0,0,1
2026-07-20,DEMO Serie B,Giornata 8,Bologna Nord,Avversario Demo,Paolo Gallo,DF,68,1,0,0,0,0
2026-07-20,DEMO Serie B,Giornata 8,Genova FC,Avversario Demo,Simone Costa,GK,88,0,0,0,0,5
2026-07-27,DEMO Serie A,Giornata 9,Milano FC,Avversario Demo,Marco Rossi,FW,83,3,2,0,0,0
2026-07-27,DEMO Serie A,Giornata 9,Torino Blu,Avversario Demo,Luca Bianchi,MF,69,3,0,0,0,0
2026-07-27,DEMO Serie A,Giornata 9,Roma City,Avversario Demo,Davide Verdi,FW,83,1,1,0,0,0
2026-07-27,DEMO Serie A,Giornata 9,Napoli Sud,Avversario Demo,Andrea Neri,GK,64,0,0,0,0,4
2026-07-27,DEMO Serie A,Giornata 9,Bologna Nord,Avversario Demo,Paolo Gallo,DF,86,1,1,1,0,0
2026-07-27,DEMO Serie A,Giornata 9,Genova FC,Avversario Demo,Simone Costa,GK,89,0,0,0,0,4
2026-08-03,DEMO Serie B,Giornata 10,Milano FC,Avversario Demo,Marco Rossi,FW,82,3,0,0,0,0
2026-08-03,DEMO Serie B,Giornata 10,Torino Blu,Avversario Demo,Luca Bianchi,MF,66,0,0,0,0,0
2026-08-03,DEMO Serie B,Giornata 10,Roma City,Avversario Demo,Davide Verdi,FW,69,1,0,0,0,0
2026-08-03,DEMO Serie B,Giornata 10,Napoli Sud,Avversario Demo,Andrea Neri,GK,90,0,0,0,0,6
2026-08-03,DEMO Serie B,Giornata 10,Bologna Nord,Avversario Demo,Paolo Gallo,DF,62,0,0,1,0,0
2026-08-03,DEMO Serie B,Giornata 10,Genova FC,Avversario Demo,Simone Costa,GK,66,0,0,0,0,6
2026-08-10,DEMO Serie A,Giornata 11,Milano FC,Avversario Demo,Marco Rossi,FW,75,4,0,0,0,0
2026-08-10,DEMO Serie A,Giornata 11,Torino Blu,Avversario Demo,Luca Bianchi,MF,77,3,2,0,0,0
2026-08-10,DEMO Serie A,Giornata 11,Roma City,Avversario Demo,Davide Verdi,FW,73,3,3,0,0,0
2026-08-10,DEMO Serie A,Giornata 11,Napoli Sud,Avversario Demo,Andrea Neri,GK,72,0,0,0,0,3
2026-08-10,DEMO Serie A,Giornata 11,Bologna Nord,Avversario Demo,Paolo Gallo,DF,62,0,0,0,0,0
2026-08-10,DEMO Serie A,Giornata 11,Genova FC,Avversario Demo,Simone Costa,GK,76,0,0,0,0,1
